Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Spyro: Enter the Dragonfly,GC,2002,Platform,Universal Interactive,0-1,0-1,0-1,0-1,0-1,47-48,12-13,5.0,0-500,Equinoxe,E
Scooby-Doo 2: Monsters Unleashed,GBA,2004,Action,THQ,0-1,0-1,0-1,0-1,0-1,45-46,4-5,,,Altron,E
Power Rangers: Dino Thunder,PS2,2004,Action,THQ,0-1,0-1,0-1,0-1,0-1,48-49,5-6,6.0,0-500,Pacific Coast Power & Light,E
Madden NFL 08,PSP,2007,Sports,Electronic Arts,0-1,0-1,0-1,0-1,0-1,74-75,9-10,7.0,0-500,EA Tiburon,E
Blast Corps,N64,1997,Action,Nintendo,0-1,0-1,0-1,0-1,0-1,,,,,,
LEGO Racers,N64,1999,Racing,LEGO Media,0-1,0-1,0-1,0-1,0-1,,,,,,
WWF Attitude,N64,1999,Fighting,Acclaim Entertainment,0-1,0-1,0-1,0-1,0-1,,,,,,
Tactics Ogre: Let Us Cling Together,SNES,1995,Role-Playing,Quest,0-1,0-1,0-1,0-1,0-1,,,,,,
Madden NFL 09,PSP,2008,Sports,Electronic Arts,0-1,0-1,0-1,0-1,0-1,67-68,7-8,6.0,0-500,EA Tiburon,E
"WarioWare, Inc.: Mega Party Game$",GC,2003,Puzzle,Nintendo,0-1,0-1,0-1,0-1,0-1,,,,,,
NBA Live 09,X360,2008,Sports,Electronic Arts,0-1,0-1,0-1,0-1,0-1,76-77,31-32,7.0,0-500,EA Canada,E
Battle Arena Toshinden 2,PS,1995,Fighting,Sony Computer Entertainment,0-1,0-1,0-1,0-1,0-1,,,,,,
Dragon Ball: Xenoverse 2,PS4,2016,Action,Namco Bandai Games,0-1,0-1,0-1,0-1,0-1,72-73,53-54,8.0,0-500,Dimps Corporation,T
Dynasty Warriors 6,PS3,2007,Action,Tecmo Koei,0-1,0-1,0-1,0-1,0-1,58-59,30-31,7.0,0-500,"Koei, Omega Force",T
Jeopardy!,PS,1997,Misc,Hasbro Interactive,0-1,0-1,0-1,0-1,0-1,,,,,,
South Park,PS,1998,Shooter,Acclaim Entertainment,0-1,0-1,0-1,0-1,0-1,,,,,,
NCAA Football 09,X360,2008,Sports,Electronic Arts,0-1,0-1,0-1,0-1,0-1,82-83,23-24,8.0,0-500,EA Tiburon,E
Doom 3: Resurrection of Evil,XB,2005,Shooter,Activision,0-1,0-1,0-1,0-1,0-1,76-77,40-41,8.0,0-500,"id Software, Nerve Software",M
SSX,X360,2012,Sports,Electronic Arts,0-1,0-1,0-1,0-1,0-1,81-82,64-65,6.0,0-500,EA Canada,E
Dragon Quest Swords: The Masked Queen and the Tower of Mirrors,Wii,2007,Role-Playing,Square Enix,0-1,0-1,0-1,0-1,0-1,64-65,42-43,6.0,0-500,"Eighting, Genius Sonority Inc.",T
Two Worlds,X360,2007,Role-Playing,SouthPeak Games,0-1,0-1,0-1,0-1,0-1,49-50,43-44,6.0,0-500,Reality Pump,M
Tony Hawk's Underground,GC,2003,Sports,Activision,0-1,0-1,0-1,0-1,0-1,88-89,18-19,8.0,0-500,Neversoft Entertainment,T
Spider-Man 2,PSP,2005,Action,Activision,0-1,0-1,0-1,0-1,0-1,66-67,42-43,7.0,0-500,Vicarious Visions,T
Super Bomberman 3,SNES,1994,Puzzle,Hudson Soft,0-1,0-1,0-1,0-1,0-1,,,,,,
NCAA Football 08,X360,2007,Sports,Electronic Arts,0-1,0-1,0-1,0-1,0-1,80-81,29-30,8.0,0-500,EA Sports,E
Command & Conquer: Red Alert Retaliation,PS,1998,Strategy,Virgin Interactive,0-1,0-1,0-1,0-1,0-1,,,,,,
Skylanders: Trap Team,WiiU,2014,Action,Activision,0-1,0-1,0-1,0-1,0-1,85-86,3-4,7.0,0-500,Toys for Bob,E10+
Star Wars: Obi-Wan,XB,2001,Action,Activision,0-1,0-1,0-1,0-1,0-1,57-58,27-28,6.0,0-500,LucasArts,T
Ace Attorney Investigations: Miles Edgeworth,DS,2009,Adventure,Capcom,0-1,0-1,0-1,0-1,0-1,77-78,50-51,8.0,0-500,Capcom,T
Kill.Switch,PS2,2003,Shooter,Sony Computer Entertainment,0-1,0-1,0-1,0-1,0-1,72-73,32-33,8.0,0-500,Namco,T
Catherine,PS3,2011,Adventure,Deep Silver,0-1,0-1,0-1,0-1,0-1,78-79,60-61,8.0,0-500,Atlus,M
Madden NFL 2005,GC,2004,Sports,Electronic Arts,0-1,0-1,0-1,0-1,0-1,89-90,25-26,,,EA Tiburon,E
F-14 Tomcat,GBA,2001,Action,Majesco Entertainment,0-1,0-1,0-1,0-1,0-1,66-67,7-8,,,Virtucraft,E
SplashDown,PS2,2001,Racing,Atari,0-1,0-1,0-1,0-1,0-1,83-84,21-22,8.0,0-500,Rainbow Studios,E
NCAA Football 98,PS,1997,Sports,Electronic Arts,0-1,0-1,0-1,0-1,0-1,,,,,,
Jade Empire,XB,2005,Role-Playing,Microsoft Game Studios,0-1,0-1,0-1,0-1,0-1,88-89,83-84,9.0,0-500,BioWare,M
Infinite Undiscovery,X360,2008,Role-Playing,Square Enix,0-1,0-1,0-1,0-1,0-1,67-68,59-60,7.0,0-500,Tri-Ace,T
FIFA Soccer 11,DS,2010,Sports,Electronic Arts,0-1,0-1,0-1,0-1,0-1,62-63,4-5,,,EA Sports,E
Chocobo's Dungeon 2,PS,1998,Role-Playing,SquareSoft,0-1,0-1,0-1,0-1,0-1,,,,,,
Call of Duty: Ghosts,PC,2013,Shooter,Activision,0-1,0-1,0-1,0-1,0-1,,,,,,
Lego Star Wars: The Force Awakens,PS4,2016,Action,Warner Bros. Interactive Entertainment,0-1,0-1,0-1,0-1,0-1,77-78,60-61,8.0,0-500,TT Games,E10+
NHL 12,X360,2011,Sports,Electronic Arts,0-1,0-1,0-1,0-1,0-1,85-86,55-56,7.0,0-500,Electronic Arts,E10+
Advance Wars,GBA,2001,Strategy,Nintendo,0-1,0-1,0-1,0-1,0-1,91-92,27-28,9.0,0-500,Intelligent Systems,E
NASCAR 2001,PS2,2000,Racing,Electronic Arts,0-1,0-1,0-1,0-1,0-1,65-66,15-16,7.0,0-500,EA Sports,E
NCAA Football 2001,PS,2000,Sports,Electronic Arts,0-1,0-1,0-1,0-1,0-1,,,,,,
WWE SmackDown vs. Raw 2011,PSP,2010,Fighting,THQ,0-1,0-1,0-1,0-1,0-1,,,7.0,0-500,Yuke's,T
Mafia,PS2,2004,Action,Illusion Softworks,0-1,0-1,0-1,0-1,0-1,64-65,29-30,8.0,0-500,Illusion Softworks,M
Hannah Montana: The Movie,DS,2009,Adventure,Disney Interactive Studios,0-1,0-1,0-1,0-1,0-1,,,,,n-Space,E
Ape Escape: On the Loose,PSP,2005,Platform,Sony Computer Entertainment,0-1,0-1,0-1,0-1,0-1,65-66,34-35,6.0,0-500,"SCEA, Sims",E
Mobile Suit Gundam: Journey to Jaburo,PS2,2000,Simulation,Namco Bandai Games,0-1,0-1,0-1,0-1,0-1,57-58,15-16,8.0,0-500,Bandai,T
MLB 08: The Show,PS3,2008,Sports,Sony Computer Entertainment,0-1,0-1,0-1,0-1,0-1,84-85,32-33,9.0,0-500,SCEA San Diego Studios,E
TimeSplitters 2,PS2,2002,Shooter,Eidos Interactive,0-1,0-1,0-1,0-1,0-1,89-90,32-33,9.0,0-500,Free Radical Design,T
Omerta: City of Gangsters,X360,2011,Simulation,Konami Digital Entertainment,0-1,0-1,0-1,0-1,0-1,42-43,17-18,3.0,0-500,Kalypso,T
Driver: San Francisco,X360,2011,Racing,Ubisoft,0-1,0-1,0-1,0-1,0-1,79-80,62-63,8.0,0-500,Ubisoft Reflections,T
Classic NES Series: Zelda II: The Adventure of Link,GBA,2004,Adventure,Nintendo,0-1,0-1,0-1,0-1,0-1,72-73,7-8,8.0,0-500,Nintendo,E
Fire Emblem: Monsh? no Nazo,SNES,1994,Role-Playing,Nintendo,0-1,0-1,0-1,0-1,0-1,,,,,,
Disney's Chicken Little,GBA,2005,Platform,Disney Interactive Studios,0-1,0-1,0-1,0-1,0-1,70-71,5-6,,,Artificial Mind and Movement,E
James Bond 007: Blood Stone,PS3,2010,Shooter,Activision,0-1,0-1,0-1,0-1,0-1,64-65,48-49,7.0,0-500,Bizarre Creations,T
King Kong,2600,1981,Action,Tigervision,0-1,0-1,0-1,0-1,0-1,,,,,,
Minecraft: Story Mode,PS4,2015,Adventure,Mojang,0-1,0-1,0-1,0-1,0-1,,,,,,
Moto Racer 2,PS,1997,Racing,Electronic Arts,0-1,0-1,0-1,0-1,0-1,,,,,,
Metal Gear Solid: Portable Ops Plus,PSP,2007,Action,Konami Digital Entertainment,0-1,0-1,0-1,0-1,0-1,64-65,18-19,8.0,0-500,Kojima Productions,T
LEGO Rock Band,Wii,2009,Misc,Warner Bros. Interactive Entertainment,0-1,0-1,0-1,0-1,0-1,69-70,14-15,7.0,0-500,TT Fusion,E10+
Monster Hunter Tri,WiiU,2012,Role-Playing,Nintendo,0-1,0-1,0-1,0-1,0-1,,,,,,
Halo 2 Multiplayer Map Pack,XB,2005,Shooter,Microsoft Game Studios,0-1,0-1,0-1,0-1,0-1,88-89,36-37,7.0,0-500,Bungie Software,M
Mortal Kombat: Shaolin Monks,PS2,2005,Action,Midway Games,0-1,0-1,0-1,0-1,0-1,76-77,40-41,9.0,0-500,Midway Studios - Los Angeles,M
"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)",PS3,2009,Shooter,Activision,0-1,0-1,0-1,0-1,0-1,,,,,,
Minecraft: Story Mode,PS3,2015,Adventure,Mojang,0-1,0-1,0-1,0-1,0-1,,,,,,
FIFA Soccer 13,Wii,2012,Action,Electronic Arts,0-1,0-1,0-1,0-1,0-1,,,2.0,0-500,Electronic Arts,E
The LEGO Movie Videogame,3DS,2014,Action,Warner Bros. Interactive Entertainment,0-1,0-1,0-1,0-1,0-1,,,5.0,0-500,TT Games,E10+
MotionSports,X360,2010,Sports,Ubisoft,0-1,0-1,0-1,0-1,0-1,39-40,29-30,4.0,0-500,Ubisoft Milan,T
MX vs. ATV Unleashed: On the Edge,PSP,2006,Racing,THQ,0-1,0-1,0-1,0-1,0-1,67-68,21-22,8.0,0-500,Rainbow Studios,E
Mario Pinball Land,GBA,2004,Misc,Nintendo,0-1,0-1,0-1,0-1,0-1,61-62,34-35,5.0,0-500,Fuse Games Limited,E
Mappy,NES,1984,Platform,Namco Bandai Games,0-1,0-1,0-1,0-1,0-1,,,,,,
J-League Soccer: Prime Goal,SNES,1993,Sports,Namco Bandai Games,0-1,0-1,0-1,0-1,0-1,,,,,,
Dragon Ball Z: Budokai,GC,2003,Fighting,Atari,0-1,0-1,0-1,0-1,0-1,64-65,15-16,6.0,0-500,Pyramid,T
NFL Xtreme,PS,1998,Sports,Sony Computer Entertainment,0-1,0-1,0-1,0-1,0-1,,,,,,
Need for Speed (2015),XOne,2015,Racing,Electronic Arts,0-1,0-1,0-1,0-1,0-1,,,,,,
Plants vs. Zombies: Garden Warfare,XOne,2014,Shooter,Electronic Arts,0-1,0-1,0-1,0-1,0-1,75-76,64-65,7.0,0-500,PopCap,E10+
Need for Speed Rivals,XOne,2013,Racing,Electronic Arts,0-1,0-1,0-1,0-1,0-1,74-75,17-18,6.0,0-500,Ghost Games,E10+
The Sims 2: Apartment Pets,DS,2008,Simulation,Electronic Arts,0-1,0-1,0-1,0-1,0-1,49-50,11-12,3.0,0-500,Full Fat,E
Harry Potter and the Chamber of Secrets,GC,2002,Action,Electronic Arts,0-1,0-1,0-1,0-1,0-1,76-77,13-14,8.0,0-500,Eurocom Entertainment Software,E
Prince of Persia: The Forgotten Sands,PS3,2010,Action,Ubisoft,0-1,0-1,0-1,0-1,0-1,74-75,48-49,8.0,0-500,Ubisoft Montreal,T
X-Men Origins: Wolverine - Uncaged Edition,X360,2009,Action,Activision,0-1,0-1,0-1,0-1,0-1,,,,,,
The Lord of the Rings: The Return of the King,GC,2003,Action,Electronic Arts,0-1,0-1,0-1,0-1,0-1,83-84,22-23,8.0,0-500,Hypnos Entertainment,T
The Sims: Medieval,PC,2011,Simulation,Electronic Arts,0-1,0-1,0-1,0-1,0-1,76-77,55-56,6.0,0-500,The Sims Studio,T
LEGO Batman 2: DC Super Heroes,DS,2012,Action,Warner Bros. Interactive Entertainment,0-1,0-1,0-1,0-1,0-1,,,8.0,0-500,TT Games,E10+
Top Spin 4,PS3,2011,Sports,Take-Two Interactive,0-1,0-1,0-1,0-1,0-1,81-82,36-37,8.0,0-500,2K Czech,E
Shrek the Third,X360,2007,Action,Activision,0-1,0-1,0-1,0-1,0-1,,,,,,
Baldur's Gate: Dark Alliance II,PS2,2004,Role-Playing,Interplay,0-1,0-1,0-1,0-1,0-1,77-78,43-44,9.0,0-500,Black Isle Studios,T
Shark Tale,GBA,2004,Action,Activision,0-1,0-1,0-1,0-1,0-1,62-63,7-8,9.0,0-500,Vicarious Visions,E
IL-2 Sturmovik: Birds of Prey,PS3,2009,Simulation,505 Games,0-1,0-1,0-1,0-1,0-1,80-81,27-28,7.0,0-500,Gaijin Entertainment,T
Test Drive Unlimited 2,X360,N/A,Racing,Atari,0-1,0-1,0-1,0-1,0-1,67-68,60-61,6.0,0-500,Eden,T
Star Wars: Masters of Teras Kasi,PS,1997,Action,LucasArts,0-1,0-1,0-1,0-1,0-1,,,,,,
World of Zoo,DS,2009,Simulation,THQ,0-1,0-1,0-1,0-1,0-1,,,,,Blue Fang Games,E
NBA Street Vol. 2,XB,2003,Sports,Electronic Arts,0-1,0-1,0-1,0-1,0-1,88-89,21-22,9.0,0-500,Electronic Arts,E
Minecraft,WiiU,2016,Misc,Microsoft Game Studios,0-1,0-1,0-1,0-1,0-1,,,,,,
MX vs. ATV Untamed,X360,2007,Racing,THQ,0-1,0-1,0-1,0-1,0-1,69-70,42-43,7.0,0-500,Rainbow Studios,E
The Last Remnant,X360,2008,Role-Playing,Square Enix,0-1,0-1,0-1,0-1,0-1,65-66,48-49,7.0,0-500,Square Enix,M
NCAA Football 2005,XB,2004,Sports,Electronic Arts,0-1,0-1,0-1,0-1,0-1,88-89,28-29,8.0,0-500,EA Sports,E
Mortal Kombat Mythologies: Sub-Zero,PS,1997,Fighting,GT Interactive,0-1,0-1,0-1,0-1,0-1,,,,,,
The Sly Collection,PS3,2010,Platform,Sony Computer Entertainment,0-1,0-1,0-1,0-1,0-1,84-85,45-46,9.0,0-500,Sanzaru Games,E10+
Naruto: Clash of Ninja,GC,2003,Fighting,Tomy Corporation,0-1,0-1,0-1,0-1,0-1,71-72,20-21,8.0,0-500,Tomy Corporation,T
Sniper Elite 3,PS4,2014,Shooter,505 Games,0-1,0-1,0-1,0-1,0-1,66-67,40-41,7.0,0-500,Rebellion,M
Prince of Persia: The Two Thrones,PS2,2005,Action,Ubisoft,0-1,0-1,0-1,0-1,0-1,84-85,45-46,8.0,0-500,Ubisoft Montreal,M
Hot Shots Golf: Open Tee 2,PSP,2007,Sports,Sony Computer Entertainment,0-1,0-1,0-1,0-1,0-1,81-82,41-42,9.0,0-500,Clap Hanz,E
Mercenaries: Playground of Destruction,XB,2005,Action,LucasArts,0-1,0-1,0-1,0-1,0-1,,,,,,
Bushido Blade 2,PS,1998,Fighting,SquareSoft,0-1,0-1,0-1,0-1,0-1,,,,,,
Suikoden II,PS,1998,Role-Playing,Konami Digital Entertainment,0-1,0-1,0-1,0-1,0-1,81-82,7-8,8.0,0-500,Konami,T
Iron Man,PS3,2008,Action,Sega,0-1,0-1,0-1,0-1,0-1,41-42,26-27,6.0,0-500,Secret Level,T
FIFA Soccer 06,XB,2005,Sports,Electronic Arts,0-1,0-1,0-1,0-1,0-1,79-80,38-39,8.0,0-500,EA Canada,E
Fight Night 2004,XB,2004,Fighting,Electronic Arts,0-1,0-1,0-1,0-1,0-1,84-85,46-47,9.0,0-500,EA Sports,T
Tourist Trophy: The Real Riding Simulator,PS2,2006,Racing,Sony Computer Entertainment,0-1,0-1,0-1,0-1,0-1,,,,,,
.hack//Mutation Part 2,PS2,2002,Role-Playing,Atari,0-1,0-1,0-1,0-1,0-1,75-76,23-24,9.0,0-500,CyberConnect2,T
Wolfenstein: The New Order,XOne,2014,Shooter,Bethesda Softworks,0-1,0-1,0-1,0-1,0-1,78-79,17-18,8.0,0-500,MachineGames,M
Cars: Mater-National Championship,DS,2007,Racing,THQ,0-1,0-1,0-1,0-1,0-1,68-69,6-7,7.0,0-500,Rainbow Studios,E
LEGO Harry Potter: Years 1-4,PSP,2010,Action,Warner Bros. Interactive Entertainment,0-1,0-1,0-1,0-1,0-1,70-71,3-4,,,TT Fusion,E10+
Midway Arcade Treasures 2,PS2,2004,Misc,Midway Games,0-1,0-1,0-1,0-1,0-1,73-74,27-28,,,Backbone Entertainment,M
Kirby's Dream Collection: Special Edition,Wii,2012,Action,Nintendo,0-1,0-1,0-1,0-1,0-1,81-82,5-6,9.0,0-500,HAL Labs,E10+
Return to Castle Wolfenstein: Tides of War,XB,2003,Shooter,Activision,0-1,0-1,0-1,0-1,0-1,83-84,37-38,9.0,0-500,Nerve Software,M
RIFT,PC,2011,Role-Playing,Unknown,0-1,0-1,0-1,0-1,0-1,83-84,58-59,7.0,500-1000,Trion Worlds,T
Spider-Man 3,PS3,2007,Platform,Activision,0-1,0-1,0-1,0-1,0-1,59-60,32-33,7.0,0-500,Treyarch,T
Street Sk8er,PS,1998,Sports,Electronic Arts,0-1,0-1,0-1,0-1,0-1,,,,,,
Mass Effect,PC,2008,Role-Playing,Electronic Arts,0-1,0-1,0-1,0-1,0-1,88-89,44-45,9.0,2000-2500,"BioWare, Demiurge Studios",M
Contra: Legacy of War,PS,1996,Shooter,Konami Digital Entertainment,0-1,0-1,0-1,0-1,0-1,,,,,,
Fight Night Round 2004,XB,2004,Fighting,Electronic Arts,0-1,0-1,0-1,0-1,0-1,,,,,,
Book of Spells,PS3,2012,Action,Sony Computer Entertainment,0-1,0-1,0-1,0-1,0-1,,,,,,
Zaidan Houjin Nippon Kanji Nouryoko Kentei Kyoukai Kounin: KanKen DS,DS,2006,Misc,Rocket Company,0-1,0-1,0-1,0-1,0-1,,,,,,
Spice World,PS,1998,Action,Sony Computer Entertainment,0-1,0-1,0-1,0-1,0-1,,,,,,
The Evil Within,XOne,2014,Action,Bethesda Softworks,0-1,0-1,0-1,0-1,0-1,78-79,23-24,7.0,0-500,Tango Gameworks,M
Armored Core 3,PS2,2002,Simulation,Metro 3D,0-1,0-1,0-1,0-1,0-1,73-74,22-23,9.0,0-500,From Software,T
Star Wars: Republic Commando,XB,2005,Shooter,Activision,0-1,0-1,0-1,0-1,0-1,77-78,53-54,9.0,0-500,LucasArts,T
Taiko no Tatsujin Wii,Wii,2008,Misc,Namco Bandai Games,0-1,0-1,0-1,0-1,0-1,,,,,,
London 2012: The Official Video Game of the Olympic Games,PS3,2012,Sports,Sega,0-1,0-1,0-1,0-1,0-1,,,,,,
The LEGO Movie Videogame,PS4,2014,Action,Warner Bros. Interactive Entertainment,0-1,0-1,0-1,0-1,0-1,70-71,30-31,7.0,0-500,TT Games,E10+
Turok,PS3,2008,Action,Touchstone,0-1,0-1,0-1,0-1,0-1,66-67,37-38,6.0,0-500,Propaganda Games,M
Wild ARMs 2,PS,1999,Role-Playing,Sony Computer Entertainment,0-1,0-1,0-1,0-1,0-1,,,,,,
Terraria,X360,2013,Action,505 Games,0-1,0-1,0-1,0-1,0-1,80-81,38-39,7.0,0-500,Engine Software,T
Red Steel,Wii,2006,Shooter,Ubisoft,0-1,0-1,0-1,0-1,0-1,62-63,53-54,7.0,0-500,Ubisoft Paris,T
Summer Sports: Paradise Island (Others sales),Wii,2008,Sports,Ubisoft,0-1,0-1,0-1,0-1,0-1,,,,,,
Need for Speed: Shift 2 Unleashed,PS3,2011,Racing,Electronic Arts,0-1,0-1,0-1,0-1,0-1,,,,,,
The Fairly Odd Parents: Breakin Da Rules,PS2,2003,Platform,THQ,0-1,0-1,0-1,0-1,0-1,,,,,,
Virtua Tennis: World Tour (US & Others sales),PSP,2005,Sports,Sega,0-1,0-1,0-1,0-1,0-1,,,,,,
Unreal Tournament III,PS3,2007,Shooter,Midway Games,0-1,0-1,0-1,0-1,0-1,85-86,41-42,8.0,0-500,Epic Games,M
Adventures of Tron,2600,1981,Action,Mattel Interactive,0-1,0-1,0-1,0-1,0-1,,,,,,
Fossil Fighters: Champions,DS,2010,Role-Playing,Nintendo,0-1,0-1,0-1,0-1,0-1,67-68,7-8,7.0,0-500,"RED Entertainment, Artdink",E
The Sims 3,DS,2010,Simulation,Electronic Arts,0-1,0-1,0-1,0-1,0-1,72-73,8-9,6.0,0-500,Exient Entertainment,E
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",GBA,N/A,Action,Disney Interactive Studios,0-1,0-1,0-1,0-1,0-1,65-66,6-7,7.0,0-500,Amaze Entertainment,E
Disney Tangled,Wii,2010,Action,Disney Interactive Studios,0-1,0-1,0-1,0-1,0-1,,,,,,
Command & Conquer: Red Alert 3,PC,2008,Strategy,Electronic Arts,0-1,0-1,0-1,0-1,0-1,,,,,,
Zaidan Houjin Nippon Kanji Nouryoku Kentei Kyoukai Koushiki Soft: 200 Mannin no KanKen: Tokoton Kanji Nou,DS,2006,Misc,IE Institute,0-1,0-1,0-1,0-1,0-1,,,,,,
Pro Pinball: Big Race USA,PS,1999,Simulation,Take-Two Interactive,0-1,0-1,0-1,0-1,0-1,68-69,3-4,,,Cunning Developments,E
NFL Street,XB,2004,Sports,Electronic Arts,0-1,0-1,0-1,0-1,0-1,80-81,37-38,9.0,0-500,EA Tiburon,E
Final Fantasy Crystal Chronicles: Ring of Fates,DS,2007,Role-Playing,Square Enix,0-1,0-1,0-1,0-1,0-1,76-77,40-41,7.0,0-500,Square Enix,E10+
Bakugan: Battle Brawlers,Wii,2009,Action,Activision,0-1,0-1,0-1,0-1,0-1,61-62,11-12,7.0,0-500,Now Production,E
Blazing Angels: Squadrons of WWII,PS3,2006,Simulation,Ubisoft,0-1,0-1,0-1,0-1,0-1,66-67,25-26,7.0,0-500,Ubisoft,T
WWE SmackDown vs. RAW 2007,PSP,2006,Fighting,THQ,0-1,0-1,0-1,0-1,0-1,77-78,12-13,8.0,0-500,Yuke's,T
Skylanders: Trap Team,PS3,2014,Action,Activision,0-1,0-1,0-1,0-1,0-1,,,7.0,0-500,Toys for Bob,E10+
F1 2015,PS4,2015,Racing,Codemasters,0-1,0-1,0-1,0-1,0-1,64-65,45-46,6.0,0-500,Codemasters,E
Tony Hawk's Proving Ground,PS2,2007,Sports,Activision,0-1,0-1,0-1,0-1,0-1,64-65,5-6,7.0,0-500,Page 44 Studios,T
The Darkness,PS3,2007,Shooter,Take-Two Interactive,0-1,0-1,0-1,0-1,0-1,79-80,34-35,8.0,0-500,Starbreeze,M
Country Dance,Wii,2011,Misc,Funbox Media,0-1,0-1,0-1,0-1,0-1,,,,,High Voltage Software,E10+
MLB 2004,PS2,2003,Sports,Sony Computer Entertainment,0-1,0-1,0-1,0-1,0-1,60-61,20-21,8.0,0-500,989 Sports,E
Naruto Shippuden: Ultimate Ninja 4,PS2,2007,Fighting,Atari,0-1,0-1,0-1,0-1,0-1,,,,,,
The Sims 3: High-End Loft Stuff,PC,2010,Simulation,Electronic Arts,0-1,0-1,0-1,0-1,0-1,,,6.0,0-500,The Sims Studio,T
Tiger Woods PGA Tour 2000,PS,1998,Sports,Electronic Arts,0-1,0-1,0-1,0-1,0-1,,,,,,
Darkstone,PS,2001,Role-Playing,Electronic Arts,0-1,0-1,0-1,0-1,0-1,57-58,9-10,8.0,0-500,Delphine Software International,T
NCAA March Madness 2003,PS2,2002,Sports,Electronic Arts,0-1,0-1,0-1,0-1,0-1,73-74,12-13,8.0,0-500,NuFX,E
Diablo III,XOne,2014,Role-Playing,Activision,0-1,0-1,0-1,0-1,0-1,,,,,,
Finding Nemo,XB,2003,Action,THQ,0-1,0-1,0-1,0-1,0-1,62-63,10-11,,,Traveller's Tales,E
Thrillville,PS2,2006,Strategy,Atari,0-1,0-1,0-1,0-1,0-1,68-69,31-32,3.0,0-500,Frontier Developments,E10+
Lalaloopsy,DS,2011,Simulation,Activision,0-1,0-1,0-1,0-1,0-1,,,,,Activision,E
Jikkyou World Soccer 2000 Final Edition,PS2,2000,Sports,Konami Digital Entertainment,0-1,0-1,0-1,0-1,0-1,,,,,,
Madagascar,GC,2005,Platform,Activision,0-1,0-1,0-1,0-1,0-1,69-70,20-21,,,Toys for Bob,E10+
Castlevania: Lords of Shadow,X360,2010,Action,Konami Digital Entertainment,0-1,0-1,0-1,0-1,0-1,82-83,69-70,8.0,0-500,Mercury Steam,M
Hidden Objects: Mystery Stories,DS,2009,Adventure,GSP,0-1,0-1,0-1,0-1,0-1,,,,,,
NHL 10,X360,2009,Sports,Electronic Arts,0-1,0-1,0-1,0-1,0-1,87-88,51-52,8.0,0-500,EA Canada,E10+
100 Classic Books,DS,2008,Misc,Nintendo,0-1,0-1,0-1,0-1,0-1,69-70,6-7,6.0,0-500,Genius Sonority Inc.,
Puzzler Brain Games,Wii,2012,Puzzle,Namco Bandai Games,0-1,0-1,0-1,0-1,0-1,,,,,,
TV Show King Party,Wii,2008,Puzzle,Ubisoft,0-1,0-1,0-1,0-1,0-1,,,,,Gameloft,T
Dragon Quest Monsters: Caravan Heart,GBA,2003,Role-Playing,Enix Corporation,0-1,0-1,0-1,0-1,0-1,,,,,,
Strawberry Shortcake: Summertime Adventure,GBA,2004,Adventure,Majesco Entertainment,0-1,0-1,0-1,0-1,0-1,,,,,Gorilla Systems,E
Street Fighter Anniversary Collection,PS2,2004,Fighting,Capcom,0-1,0-1,0-1,0-1,0-1,77-78,29-30,9.0,0-500,Capcom,T
Legend of Legaia,PS,1998,Role-Playing,Sony Computer Entertainment,0-1,0-1,0-1,0-1,0-1,,,,,,
NHL 13,X360,2012,Sports,Electronic Arts,0-1,0-1,0-1,0-1,0-1,82-83,43-44,7.0,0-500,Electronic Arts,E10+
Napoleon: Total War,PC,2010,Strategy,Sega,0-1,0-1,0-1,0-1,0-1,80-81,55-56,8.0,500-1000,Creative Assembly,T
Metro: Last Light,PS4,2014,Action,Deep Silver,0-1,0-1,0-1,0-1,0-1,,,,,,
Madden NFL 10,PSP,2009,Sports,Electronic Arts,0-1,0-1,0-1,0-1,0-1,,,8.0,0-500,EA Tiburon,E
Rayman Legends,WiiU,2013,Platform,Ubisoft,0-1,0-1,0-1,0-1,0-1,91-92,34-35,9.0,0-500,Ubisoft Montpellier,E10+
The Sims: Bustin' Out,GC,2003,Simulation,Electronic Arts,0-1,0-1,0-1,0-1,0-1,80-81,29-30,9.0,0-500,Maxis,T
BioShock Infinite,PC,2013,Shooter,Take-Two Interactive,0-1,0-1,0-1,0-1,0-1,93-94,67-68,8.0,7000-7500,Irrational Games,M
Keystone Kapers,2600,1982,Action,Activision,0-1,0-1,0-1,0-1,0-1,,,,,,
Ratatouille,PSP,2007,Action,THQ,0-1,0-1,0-1,0-1,0-1,63-64,6-7,7.0,0-500,Locomotive Games,E
Lollipop Chainsaw,PS3,2012,Action,Warner Bros. Interactive Entertainment,0-1,0-1,0-1,0-1,0-1,66-67,36-37,7.0,0-500,Grasshopper Manufacture,M
Tom Clancy's EndWar,PS3,2008,Strategy,Ubisoft,0-1,0-1,0-1,0-1,0-1,75-76,32-33,7.0,0-500,Ubisoft Shanghai,T
Shrek: Hassle at the Castle,GBA,2002,Action,TDK Mediactive,0-1,0-1,0-1,0-1,0-1,70-71,6-7,7.0,0-500,TOSE,E
