Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Asteroids Hyper 64,N64,1999,Shooter,Crave Entertainment,0-1,0-1,0-1,0-1,0-1,,,,,,
The Powerpuff Girls: Chemical X-Traction,N64,2001,Action,BAM! Entertainment,0-1,0-1,0-1,0-1,0-1,,,,,,
Fighters Destiny,N64,1998,Fighting,Ocean,0-1,0-1,0-1,0-1,0-1,,,,,,
Jikkyou Powerful Pro Yakyuu Basic-han 2001,N64,2001,Sports,Konami Digital Entertainment,0-1,0-1,0-1,0-1,0-1,,,,,,
The Crew,PC,2014,Racing,Ubisoft,0-1,0-1,0-1,0-1,0-1,70-71,11-12,6.0,0-500,"Ubisoft Reflections, Ivory Tower",T
Ready 2 Rumble Revolution,Wii,2009,Sports,Atari,0-1,0-1,0-1,0-1,0-1,36-37,30-31,,,10tacle Studios,T
Create,PS3,2010,Action,Electronic Arts,0-1,0-1,0-1,0-1,0-1,60-61,22-23,5.0,0-500,EA Bright Light,E
Minna no DS Seminar: Kanpeki Kanji Ryoku,DS,2006,Misc,TDK Core,0-1,0-1,0-1,0-1,0-1,,,,,,
Macross Ace Frontier,PSP,2008,Simulation,Namco Bandai Games,0-1,0-1,0-1,0-1,0-1,,,,,,
Black & Bruised,PS2,2003,Fighting,Vivendi Games,0-1,0-1,0-1,0-1,0-1,,,,,,
Eragon,DS,2006,Action,Vivendi Games,0-1,0-1,0-1,0-1,0-1,62-63,16-17,8.0,0-500,Amaze Entertainment,T
TimeShift,PS3,2007,Shooter,Vivendi Games,0-1,0-1,0-1,0-1,0-1,69-70,15-16,6.0,0-500,Saber Interactive,M
.hack//G.U. Vol.2//Reminisce (jp sales),PS2,2006,Role-Playing,Namco Bandai Games,0-1,0-1,0-1,0-1,0-1,,,,,,
Rapala Pro Fishing,XB,2004,Sports,Zoo Digital Publishing,0-1,0-1,0-1,0-1,0-1,58-59,6-7,,,FUN Labs,E
Spyro: Shadow Legacy,DS,2005,Action,Vivendi Games,0-1,0-1,0-1,0-1,0-1,49-50,17-18,6.0,0-500,Amaze Entertainment,E
Just Dance: Disney Party,X360,2012,Misc,Ubisoft,0-1,0-1,0-1,0-1,0-1,,,,,"Disney Interactive Studios, Land Ho!",E
The Sims 3: Seasons,PC,2012,Simulation,Electronic Arts,0-1,0-1,0-1,0-1,0-1,72-73,11-12,8.0,0-500,The Sims Studio,T
Our House,DS,2009,Strategy,Majesco Entertainment,0-1,0-1,0-1,0-1,0-1,,,,,BudCat,E
Bakugan Battle Brawlers: Defenders of the Core,Wii,2010,Action,Activision,0-1,0-1,0-1,0-1,0-1,,,,,Now Production,E10+
Guilty Gear Xrd: Sign,PS4,2014,Fighting,Arc System Works,0-1,0-1,0-1,0-1,0-1,,,,,,
Sid Meier's Pirates!,Wii,2010,Strategy,Take-Two Interactive,0-1,0-1,0-1,0-1,0-1,,,,,,
Scarface: Money. Power. Respect.,PSP,2006,Strategy,Vivendi Games,0-1,0-1,0-1,0-1,0-1,57-58,11-12,3.0,0-500,Radical Entertainment,M
Angry Birds Star Wars,XOne,2013,Strategy,Activision,0-1,0-1,0-1,0-1,0-1,52-53,3-4,7.0,0-500,Exient Entertainment,E
Ghost in the Shell: Stand Alone Complex,PS2,2004,Adventure,Namco Bandai Games,0-1,0-1,0-1,0-1,0-1,,,,,,
Blitz: The League,X360,2006,Sports,Midway Games,0-1,0-1,0-1,0-1,0-1,68-69,22-23,6.0,0-500,Midway,M
Battle Soccer: Field no Hasha,SNES,1992,Sports,Banpresto,0-1,0-1,0-1,0-1,0-1,,,,,,
Yakuza Kiwami,PS4,2016,Adventure,Sega,0-1,0-1,0-1,0-1,0-1,,,,,Ryu ga Gotoku Studios,
NBA 2K12,PC,2011,Sports,Take-Two Interactive,0-1,0-1,0-1,0-1,0-1,85-86,4-5,7.0,0-500,Visual Concepts,E
Take A Break's: Puzzle Master,DS,2009,Puzzle,Ubisoft,0-1,0-1,0-1,0-1,0-1,,,,,,
Ener-G: Dance Squad,DS,2008,Sports,Ubisoft,0-1,0-1,0-1,0-1,0-1,,,,,Lexis Numerique,E
Rudolph the Red-Nosed Reindeer,Wii,2010,Action,Crave Entertainment,0-1,0-1,0-1,0-1,0-1,,,,,High Voltage Software,E
FlatOut 2,PS2,2006,Racing,Empire Interactive,0-1,0-1,0-1,0-1,0-1,72-73,43-44,8.0,0-500,Bugbear,T
Naruto: Ultimate Ninja Heroes 2 - The Phantom Fortress,PSP,2006,Fighting,Atari,0-1,0-1,0-1,0-1,0-1,63-64,19-20,8.0,0-500,CyberConnect2,T
Despicable Me: The Game,PSP,2010,Platform,D3Publisher,0-1,0-1,0-1,0-1,0-1,,,,,,
FIFA Soccer 96,PS,1995,Sports,Electronic Arts,0-1,0-1,0-1,0-1,0-1,,,,,,
NCAA Final Four 2001,PS,2000,Sports,Sony Computer Entertainment,0-1,0-1,0-1,0-1,0-1,54-55,6-7,,,989 Sports,E
Heroes over Europe,PS3,2009,Simulation,Ubisoft,0-1,0-1,0-1,0-1,0-1,61-62,33-34,7.0,0-500,"Atari, Transmission Games, Atari SA",T
J-League Jikkyou Winning Eleven 2000,PS,2000,Sports,Konami Digital Entertainment,0-1,0-1,0-1,0-1,0-1,,,,,,
Eve: The Lost One,SAT,1998,Adventure,Imagineer,0-1,0-1,0-1,0-1,0-1,,,,,,
TNA iMPACT!,Wii,2008,Fighting,Midway Games,0-1,0-1,0-1,0-1,0-1,,,,,,
Konami Krazy Racers,GBA,2001,Racing,Konami Digital Entertainment,0-1,0-1,0-1,0-1,0-1,77-78,8-9,,,KCEK,E
BioShock The Collection,XOne,2016,Shooter,Take-Two Interactive,0-1,0-1,0-1,0-1,0-1,83-84,15-16,8.0,0-500,2K Games,M
Watchmen: The End is Nigh - The Complete Experience,PS3,2009,Action,Warner Bros. Interactive Entertainment,0-1,0-1,0-1,0-1,0-1,,,,,,
Solitaire Overload Plus,DS,2010,Misc,Telegames,0-1,0-1,0-1,0-1,0-1,,,,,Telegames,E
Saturday Night Slam Masters,SNES,1994,Fighting,Capcom,0-1,0-1,0-1,0-1,0-1,,,,,,
F-Zero: GP Legend,GBA,2003,Racing,Nintendo,0-1,0-1,0-1,0-1,0-1,76-77,30-31,8.0,0-500,Suzak,E
Racing Lagoon,PS,1999,Racing,Square,0-1,0-1,0-1,0-1,0-1,,,,,,
Vegas Party,Wii,N/A,Misc,Unknown,0-1,0-1,0-1,0-1,0-1,32-33,5-6,,,Storm City Games,T
Mr. Driller 2,GBA,2001,Puzzle,Namco Bandai Games,0-1,0-1,0-1,0-1,0-1,61-62,15-16,,,Namco,E
Klonoa,Wii,2008,Platform,Namco Bandai Games,0-1,0-1,0-1,0-1,0-1,76-77,36-37,9.0,0-500,Paon Corporation,E10+
Bulletstorm,PC,2011,Shooter,Electronic Arts,0-1,0-1,0-1,0-1,0-1,81-82,33-34,8.0,500-1000,"Epic Games, People Can Fly",M
Putty Squad,PS4,2013,Platform,System 3,0-1,0-1,0-1,0-1,0-1,37-38,7-8,3.0,0-500,System 3,E10+
J-League Pro Soccer Club o Tsukurou! 6: Pride of J,PSP,2009,Sports,Sega,0-1,0-1,0-1,0-1,0-1,,,,,,
Burger Island,DS,2008,Action,Destineer,0-1,0-1,0-1,0-1,0-1,,,,,eGames,E
The Walking Dead: Season One,XOne,2014,Adventure,Telltale Games,0-1,0-1,0-1,0-1,0-1,,,,,,
Field Commander,PSP,2006,Strategy,Sony Online Entertainment,0-1,0-1,0-1,0-1,0-1,76-77,52-53,8.0,0-500,"Sony Online Entertainment, Mind Control Software",T
Left Brain Right Brain: Use Both Hands Train Both Sides,DS,2007,Misc,505 Games,0-1,0-1,0-1,0-1,0-1,,,,,,
Around the World in 80 Days,DS,2010,Action,PlayV,0-1,0-1,0-1,0-1,0-1,,,,,,
"BCFX: The Black College Football Xperience, The Doug Williams Edition",X360,2009,Sports,Aspyr,0-1,0-1,0-1,0-1,0-1,,,,,,
Custom Robo Arena,DS,2006,Fighting,Nintendo,0-1,0-1,0-1,0-1,0-1,73-74,21-22,8.0,0-500,Noise Inc.,E10+
Ar Nosurge: Ode to an Unborn Star,PS3,2014,Role-Playing,Tecmo Koei,0-1,0-1,0-1,0-1,0-1,66-67,22-23,8.0,0-500,Gust,T
Power Rangers Double Pack,GBA,2005,Action,THQ,0-1,0-1,0-1,0-1,0-1,,,,,,
Imagine: Ice Champions,DS,2007,Sports,Spike,0-1,0-1,0-1,0-1,0-1,,,,,Digital Kids,E
Pachi-Slot Kanzen Kouryaku 3: Universal Koushiki Gaido Volume 3,PS,1998,Misc,Syscom,0-1,0-1,0-1,0-1,0-1,,,,,,
FIFA Soccer 97,PS,1996,Sports,Electronic Arts,0-1,0-1,0-1,0-1,0-1,,,,,,
